Timeframe,Open,High,Low,Close,Volume
1578031200000,6244.33,6607.39,6244.33,6581.57,2.541087
1578052800000,6552.79,6608.59,6494.83,6566.96,0.301348
1578074400000,6566.96,6573.79,6516.32,6568.73,0.716545
1578096000000,6558.96,6573.79,6533.6,6573.79,0.100482
1578117600000,6573.79,6586.27,6539.78,6539.78,0.042452
1578139200000,6570.63,6600.05,6520.12,6530.84,1.354736
1578160800000,6577.8,6690.0,6528.53,6568.18,0.33197499999999996
1578182400000,6590.9,6699.28,6568.18,6671.27,0.15459
1578204000000,6671.27,6689.99,6623.0,6655.44,1.079426
1578225600000,6659.09,6684.04,6651.46,6676.85,0.108591
1578247200000,6659.09,6692.0,6583.4,6589.0,2.022738
1578268800000,6568.18,6750.1,6515.58,6744.83,4.022734
1578290400000,6721.24,6780.0,6721.24,6750.0,0.47870799999999997
1578312000000,6750.0,6750.0,6600.0,6681.81,0.686072
1578333600000,6659.09,6950.0,6500.0,6914.15,5.062669
1578355200000,6942.65,7135.43,6942.65,7042.72,2.310301
1578376800000,7032.73,7108.6,6969.68,7079.89,2.923194
1578398400000,7070.42,7107.1,6900.0,7098.74,18.796422
1578420000000,7098.04,7352.71,7098.04,7315.6,5.487484
1578441600000,7353.14,7552.26,7353.14,7458.02,0.8800089999999999
1578463200000,7485.03,7517.6,7412.81,7433.17,2.513171
1578484800000,7465.81,7552.26,7202.76,7273.72,10.899082
1578506400000,7235.51,7290.25,7079.19,7239.17,7.897896
1578528000000,7209.85,7209.85,7160.0,7160.0,0.174761
1578549600000,7138.79,7158.37,7075.01,7075.01,1.84139
1578571200000,7105.28,7154.66,7013.8,7054.49,13.786731
1578592800000,7029.9,7181.62,6983.08,7030.39,6.094058
1578614400000,7059.9,7059.9,6965.77,6965.77,0.112546
1578636000000,6972.07,7046.08,6924.0,7040.0,1.449624
1578657600000,7102.9,7293.75,7088.89,7166.46,1.404846
1578679200000,7200.0,7350.0,7188.62,7350.0,0.9679359999999999
1578700800000,7350.0,7398.82,7239.72,7286.48,1.361648
1578722400000,7260.65,7314.38,7168.68,7221.08,3.047393
1578744000000,7228.26,7397.29,7225.28,7356.49,0.441855
1578765600000,7348.01,7438.1,7225.27,7225.27,1.058946
1578787200000,7213.35,7276.67,7171.15,7276.67,0.20249799999999998
1578808800000,7281.48,7312.54,7225.27,7276.99,0.34302299999999997
1578830400000,7286.61,7352.97,7251.15,7302.79,1.452154
1578852000000,7274.06,7352.97,7256.0,7352.97,3.137898
1578873600000,7352.97,7352.97,7267.84,7267.84,0.06185
1578895200000,7257.87,7300.0,7247.06,7271.4,1.146294
1578916800000,7257.69,7300.0,7250.6,7261.16,0.7308819999999999
1578938400000,7277.0,7332.16,7268.78,7306.14,1.214227
1578960000000,7288.12,7676.97,7288.12,7636.01,3.764231
1578981600000,7623.91,7678.46,7573.36,7664.01,2.188057
1579003200000,7664.01,7950.0,7543.98,7909.78,20.95839
1579024800000,7916.07,7970.49,7771.92,7894.24,5.856495
1579046400000,7895.5,7989.59,7705.73,7745.22,8.357606
1579068000000,7745.22,7900.0,7728.94,7840.0,4.40425
1579089600000,7840.0,7970.49,7763.64,7861.76,3.465393
1579111200000,7871.99,7929.2,7811.25,7881.35,1.126608
1579132800000,7906.51,7917.05,7711.37,7794.94,2.278297
1579154400000,7790.12,7809.49,7699.0,7800.0,1.982664
1579176000000,7800.33,7850.0,7725.74,7811.94,4.219446
1579197600000,7799.6,7845.98,7770.32,7845.98,2.461703
1579219200000,7816.48,7970.49,7816.48,7970.49,2.37952
1579240800000,7980.0,8064.16,7952.36,8004.0,3.679474
1579262400000,7989.53,8024.28,7904.29,8024.28,2.850141
1579284000000,7985.68,8075.59,7952.36,8035.0,7.524195
1579305600000,8025.0,8073.44,7966.97,7966.97,2.039027
1579327200000,7976.49,8021.42,7950.0,7966.22,3.427415
1579348800000,7994.87,8077.1,7968.7,8025.0,5.317695
1579370400000,7996.24,8065.8,7996.24,8050.0,3.85886
1579392000000,8067.93,8271.43,8067.93,8222.72,5.826824
1579413600000,8222.72,8222.72,7714.84,7795.05,15.810404
